30,-40
30,-39
30,-38
30,-37
30,-36
31,-40
32,-40
33,-40
34,-40
31,-36
32,-36
33,-36
34,-39
34,-38
34,-37
34,-36
48,177
48,178
48,179
48,180
48,181
49,177
50,177
51,177
52,177
49,181
50,181
51,181
52,178
52,179
52,180
52,181
-66,119
-66,120
-66,121
-66,122
-66,123
-65,119
-64,119
-63,119
-62,119
-65,123
-64,123
-63,123
-62,120
-62,121
-62,122
-62,123
-55,182
-55,183
-55,184
-55,185
-55,186
-54,182
-53,182
-52,182
-51,182
-54,186
-53,186
-52,186
-51,183
-51,184
-51,185
-51,186
-26,146
-26,147
-26,148
-26,149
-26,150
-25,146
-24,146
-23,146
-22,146
-25,150
-24,150
-23,150
-22,147
-22,148
-22,149
-22,150
-48,-161
-48,-160
-48,-159
-48,-158
-48,-157
-47,-161
-46,-161
-45,-161
-44,-161
-47,-157
-46,-157
-45,-157
-44,-160
-44,-159
-44,-158
-44,-157
-67,-127
-67,-126
-67,-125
-67,-124
-67,-123
-66,-127
-65,-127
-64,-127
-63,-127
-66,-123
-65,-123
-64,-123
-63,-126
-63,-125
-63,-124
-63,-123
14,-158
14,-157
14,-156
14,-155
14,-154
15,-158
16,-158
17,-158
18,-158
15,-154
16,-154
17,-154
18,-157
18,-156
18,-155
18,-154
31,-105
31,-104
31,-103
31,-102
31,-101
32,-105
33,-105
34,-105
35,-105
32,-101
33,-101
34,-101
35,-104
35,-103
35,-102
35,-101
-35,-52
-35,-51
-35,-50
-35,-49
-35,-48
-34,-52
-33,-52
-32,-52
-31,-52
-34,-48
-33,-48
-32,-48
-31,-51
-31,-50
-31,-49
-31,-48
91,135
91,136
91,137
91,138
91,139
92,135
93,135
94,135
95,135
92,139
93,139
94,139
95,136
95,137
95,138
95,139
-99,84
-99,85
-99,86
-99,87
-99,88
-98,84
-97,84
-96,84
-95,84
-98,88
-97,88
-96,88
-95,85
-95,86
-95,87
-95,88
14,50
14,51
14,52
14,53
14,54
15,50
16,50
17,50
18,50
15,54
16,54
17,54
18,51
18,52
18,53
18,54
24,69
24,70
24,71
24,72
24,73
25,69
26,69
27,69
28,69
25,73
26,73
27,73
28,70
28,71
28,72
28,73
-9,-176
-9,-175
-9,-174
-9,-173
-9,-172
-8,-176
-7,-176
-6,-176
-5,-176
-8,-172
-7,-172
-6,-172
-5,-175
-5,-174
-5,-173
-5,-172
50,52
50,53
50,54
50,55
50,56
51,52
52,52
53,52
54,52
51,56
52,56
53,56
54,53
54,54
54,55
54,56
-44,11
-44,12
-44,13
-44,14
-44,15
-43,11
-42,11
-41,11
-40,11
-43,15
-42,15
-41,15
-40,12
-40,13
-40,14
-40,15
-27,36
-27,37
-27,38
-27,39
-27,40
-26,36
-25,36
-24,36
-23,36
-26,40
-25,40
-24,40
-23,37
-23,38
-23,39
-23,40
23,-156
23,-155
23,-154
23,-153
23,-152
24,-156
25,-156
26,-156
27,-156
24,-152
25,-152
26,-152
27,-155
27,-154
27,-153
27,-152
54,-95
54,-94
54,-93
54,-92
54,-91
55,-95
56,-95
57,-95
58,-95
55,-91
56,-91
57,-91
58,-94
58,-93
58,-92
58,-91
-88,149
-88,150
-88,151
-88,152
-88,153
-87,149
-86,149
-85,149
-84,149
-87,153
-86,153
-85,153
-84,150
-84,151
-84,152
-84,153
83,114
83,115
83,116
83,117
